suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,and/and,false,,true,false,170,cp-sat,10000,minizinc,linear,0,1,false
hakank,anniversaries/anniversaries,false,,true,false,268,cp-sat,10000,minizinc,global,3,0,false
hakank,another_kind_of_magic_square/another_kind_of_magic_square,false,,true,false,783,cp-sat,10000,minizinc,global,1,1,false
hakank,antisymmetric/antisymmetric,false,,true,false,109,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,appointment_scheduling/appointment_scheduling,false,,true,false,229,cp-sat,10000,minizinc,linear,0,3,false
hakank,appointment_scheduling_set/appointment_scheduling_set,false,,true,false,249,cp-sat,10000,minizinc,global,1,0,false
hakank,arch_friends/arch_friends,false,,true,false,213,cp-sat,10000,minizinc,global,2,0,false
hakank,archery_puzzle/archery_puzzle,false,0.0,true,true,184,cp-sat,10000,minizinc,linear,0,1,false
hakank,are_you_the_one/are_you_the_one,false,,true,false,251,cp-sat,10000,minizinc,linear,0,3,false
hakank,argmax/argmax,false,,true,false,240,cp-sat,10000,minizinc,global,16,0,false
hakank,arith/arith,false,,true,false,148,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,arith_or/arith_or,false,,true,false,149,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,arith_sliding/arith_sliding,false,,true,false,110,cp-sat,10000,minizinc,linear,0,1,false
hakank,arithmetic_ring/arithmetic_ring,false,,true,false,273,cp-sat,10000,minizinc,global,1,0,false
hakank,arrow/arrow,true,5.73618492E8,true,true,208,cp-sat,10000,minizinc,global,1,1,false
hakank,artificial_intelligence/artificial_intelligence,false,,true,false,680,cp-sat,10000,minizinc,global,1,0,false
hakank,assign_and_counts/assign_and_counts,false,,true,false,167,cp-sat,10000,minizinc,linear,0,1,false
hakank,assign_and_nvalues/assign_and_nvalues,false,,true,false,224,cp-sat,10000,minizinc,global,1,0,false
hakank,assignment/assignment,false,11.0,true,true,6,cp-sat,10000,minizinc,linear,0,3,false
hakank,assignment/assignment2,false,181.0,true,true,8,cp-sat,10000,minizinc,linear,0,4,false
